Folder,File,Functions,Classes
superpilot/core/planning/strategies,__init__.py,,
superpilot/core/planning/strategies,model.py,"__init__, model_classification, build_prompt, parse_response_content, get_config",ModelPromptStrategy
superpilot/core/planning/strategies,utils.py,"to_numbered_list, json_loads",
superpilot/core/planning/strategies,markdown.py,"__init__, model_classification, build_prompt, parse_response_content",MarkdownGeneratorStrategy
superpilot/core/planning/strategies,initial_plan.py,"__init__, model_classification, build_prompt, parse_response_content","InitialPlanConfiguration, InitialPlan"
superpilot/core/planning/strategies,name_and_goals.py,"__init__, model_classification, build_prompt, parse_response_content","NameAndGoalsConfiguration, NameAndGoals"
superpilot/core/planning/strategies,simple.py,"__init__, model_classification, build_prompt, get_template_kwargs, _generate_content_list, parse_response_content, get_config, factory","BaseContent, SimplePrompt"
superpilot/core/planning/strategies,step_execution.py,"__init__, model_classification, build_prompt, parse_response_content","StepExecutionConfiguration, StepExecution"
superpilot/core/planning/strategies,step_flow.py,"__init__, model_classification, build_prompt, parse_response_content","StepFlowConfiguration, StepFlow"
superpilot/core/agent,,,
superpilot/core/agent,research.py,"_prune_empty_dicts, update_pilot_name_and_goals, __init__, load_pilot, from_workspace, from_goal, __repr__, build_user_configuration, compile_settings, provision_pilot, provision_pilot_goal, _get_system_instance","AgentSystems, AgentConfiguration, AgentSystemSettings, AgentSettings, ResearchAgent"
superpilot/core/agent,__init__.py,,
superpilot/core/agent,settings.py,update_pilot_name_and_goals,"AgentSystems, AgentConfiguration, AgentSystemSettings, AgentSettings"
superpilot/core/agent,simple.py,"_prune_empty_dicts, __init__, from_workspace, __repr__, build_user_configuration, compile_settings, provision_pilot, _get_system_instance",SimpleAgent
superpilot/core/agent,base.py,"__init__, from_workspace, __repr__, name",Agent
superpilot/core/ability,,,
superpilot/core/ability,__init__.py,,
superpilot/core/ability,super.py,"__init__, register_ability, list_abilities, dump_abilities, get_ability, abilities, factory","AbilityRegistryConfiguration, AbilityRegistrySettings, SuperAbilityRegistry"
superpilot/core/ability,simple.py,"__init__, register_ability, list_abilities, dump_abilities, get_ability, abilities","AbilityRegistryConfiguration, AbilityRegistrySettings, SimpleAbilityRegistry"
superpilot/core/ability,base.py,"factory, name, description, arguments, required_arguments, __str__, _parse_response, dump, create_ability, register_ability, list_abilities, abilities, dump_abilities, get_ability","AbilityConfiguration, Ability, AbilityRegistry"
superpilot/core/ability,schema.py,"add_knowledge, summary","AbilityAction, Config"
superpilot/core/ability/builtins,,,
superpilot/core/ability/builtins,__init__.py,,
superpilot/core/ability/builtins,super.py,"__init__, description, arguments, required_arguments, create_new_ability",SuperAbility
superpilot/core/ability/builtins,create_new_ability.py,"__init__, description, arguments, required_arguments, create_new_ability",CreateNewAbility
superpilot/core/ability/builtins,image_operations.py,"__init__, description, arguments, required_arguments, _check_preconditions, __call__, _generate_huggingface_image, _generate_dalle_image, _generate_stablediffusion_image",GenerateImage
superpilot/core/ability/builtins,file_operations.py,"__init__, description, arguments, _check_preconditions, __call__, __init__, description, arguments, _check_preconditions, __call__","ReadFile, WriteFile"
superpilot/core/ability/builtins,query_language_model.py,"__init__, description, arguments, required_arguments, _parse_response",QueryLanguageModel
superpilot/core/environment,,,
superpilot/core/environment,__init__.py,,
superpilot/core/environment,factory.py,"__init__, build_environment, build_ability_registry, build_memory, build_openai_provider, build_planning, build_workspace, export_json",EnvConfigBuilder
superpilot/core/environment,settings.py,,"EnvSystems, EnvConfiguration, EnvSystemSettings, EnvSettings"
superpilot/core/environment,simple.py,"_prune_empty_dicts, __init__, from_workspace, __repr__, factory, build_user_configuration, compile_settings, provision_environment, get, _get_system_instance",SimpleEnv
superpilot/core/environment,base.py,"__init__, from_workspace, get, __repr__, name",Environment
superpilot/core/pilot,,,
superpilot/core/pilot,__init__.py,,
superpilot/core/pilot,super.py,"_prune_empty_dicts, __init__, __repr__",SuperPilot
superpilot/core/pilot,settings.py,update_pilot_name_and_goals,"PilotSystems, ExecutionAlgo, PilotConfiguration, PilotSystemSettings, PilotSettings"
superpilot/core/pilot,base.py,"__init__, __repr__, name, __init__","Pilot, BasePilot"
superpilot/core/pilot/chain,,,
superpilot/core/pilot/chain,__init__.py,,
superpilot/core/pilot/chain,simple.py,,SimpleChain
superpilot/core/pilot/chain,base.py,"__init__, add_handler, default_transformer, remove_handler, update_cost",BaseChain
superpilot/core/pilot/task,,,
superpilot/core/pilot/task,__init__.py,,
superpilot/core/pilot/task,super.py,"get_os_info, __init__, _make_template_kwargs_for_strategy, __repr__, create",SuperTaskPilot
superpilot/core/pilot/task,model.py,"get_os_info, __init__, _make_template_kwargs_for_strategy, __repr__, __str__, name, dump, factory",ModelTaskPilot
superpilot/core/pilot/task,settings.py,,"TaskPilotConfiguration, ModelTaskPilotConfiguration"
superpilot/core/pilot/task,simple.py,"get_os_info, __init__, choose_model, _make_template_kwargs_for_strategy, __repr__, __str__, factory, create",SimpleTaskPilot
superpilot/core/pilot/task,base.py,"name, __repr__, _parse_response",TaskPilot
superpilot/core/resource,,,
superpilot/core/resource,__init__.py,,
superpilot/core/resource,schema.py,"update_usage, update_usage_and_cost","ResourceType, ProviderUsage, ProviderBudget, ProviderCredentials, ProviderSettings, Config"
superpilot/core/resource/model_providers,,,
superpilot/core/resource/model_providers,anthropic_api.py,"__init__, get_token_limit, get_remaining_budget, get_total_cost, combine_text_from_objects, _get_completion_kwargs, _get_embedding_kwargs, _wrap_prompt, __repr__, factory, init_settings, __init__, _log_rate_limit_error, _backoff, __call__","AnthropicModelName, AnthropicConfiguration, AnthropicModelProviderBudget, AnthropicSettings, AnthropicApiProvider, _AnthropicRetryHandler"
superpilot/core/resource/model_providers,contants.py,,
superpilot/core/resource/model_providers,ollama_api.py,"__init__, get_token_limit, get_remaining_budget, get_total_cost, combine_text_from_objects, _get_completion_kwargs, _get_embedding_kwargs, _wrap_prompt, __repr__, factory, init_settings, __init__, _log_rate_limit_error, _backoff, __call__","OllamaModelName, OllamaConfiguration, OllamaModelProviderBudget, OllamaSettings, OllamaApiProvider, _OllamaRetryHandler"
superpilot/core/resource/model_providers,__init__.py,,
superpilot/core/resource/model_providers,factory.py,"load_model_provider, __init__, factory, load_providers, _get_model_provider_instance, __init__, get_ai_models, get_ai_model, get_models_config","ModelProviderConfiguration, ProviderFactorySettings, ModelProviderFactory, ModelConfigFactory"
superpilot/core/resource/model_providers,openai.py,"__init__, get_token_limit, get_remaining_budget, get_total_cost, _get_completion_kwargs, _get_embedding_kwargs, __repr__, factory, init_settings, __init__, _log_rate_limit_error, _backoff, __call__","OpenAIModelName, OpenAIConfiguration, OpenAIModelProviderBudget, OpenAISettings, OpenAIProvider, _OpenAIRetryHandler"
superpilot/core/resource/model_providers,deepinfra.py,"__init__, get_token_limit, get_remaining_budget, get_total_cost, _get_completion_kwargs, _get_embedding_kwargs, __repr__, factory, init_settings, __init__, _log_rate_limit_error, _backoff, __call__","DeepInfraModelName, DeepInfraConfiguration, DeepInfraModelProviderBudget, DeepInfraSettings, DeepInfraProvider, _DeepInfraRetryHandler"
superpilot/core/resource/model_providers,schema.py,"unmask, _remove_a_key, add_image, dict, add_text, add_image, to_dict, __str__, to_dict, __str__, unmasked, update_usage, update_usage_and_cost, get_token_limit, get_remaining_budget, get_total_cost, _verify_no_completion_tokens_used, get, __init__, __call__, from_response, _resolve_ref, function_schema, set_properties, name, multiple_args, from_response, wrapper","ModelProviderService, ModelProviderName, ModelProviderDetail, MessageRole, MessageContentType, MessageImage, MessageContent, LanguageModelMessage, LanguageModelFunction, ModelProviderModelInfo, ModelProviderModelResponse, ModelProviderCredentials, ModelProviderUsage, ModelProviderBudget, ModelProviderSettings, ModelProvider, EmbeddingModelProviderModelInfo, EmbeddingModelProviderModelResponse, EmbeddingModelProvider, LanguageModelProviderModelInfo, LanguageModelProviderModelResponse, LanguageModelProvider, MediaModelProviderModelInfo, MediaModelProviderModelResponse, MediaModelProvider, schema_function, SchemaModel, Config"
superpilot/core/resource/model_providers/utils,,,
superpilot/core/resource/model_providers/utils,token_counter.py,"count_message_tokens, count_message_tokens, count_message_tokens, count_string_tokens",
superpilot/core/resource/model_providers/utils,__init__.py,,
superpilot/core/resource/model_providers/utils,api_client.py,"__init__, _request, count_tokens, __init__, completion, count_tokens","BaseAPIClient, APIClient"
superpilot/core/_deprecated,,,
superpilot/core/_deprecated,__init__.py,,
superpilot/core/_deprecated/messaging,,,
superpilot/core/_deprecated/messaging,__init__.py,,
superpilot/core/_deprecated/messaging,simple.py,"__init__, __repr__, __init__, add_listener, __repr__, __init__, create_message_channel, get_emitter, register_listener, __repr__","SimpleMessageEmitter, SimpleMessageChannel, SimpleMessageBroker"
superpilot/core/_deprecated/messaging,base.py,"send_message, __repr__, add_listener, send_message, __repr__, create_message_channel, get_emitter, register_listener, __repr__","Role, Sender, MessageContent, Message, MessageEmitter, MessageChannel, MessageBroker"
superpilot/app,,,
superpilot/app,__init__.py,,
superpilot/app/cli_web_app,,,
superpilot/app/cli_web_app,__init__.py,,
superpilot/app/cli_web_app,cli.py,"superpilot, server, superpilot_server",
superpilot/app/cli_web_app/server,,,
superpilot/app/cli_web_app/server,__init__.py,,
superpilot/app/cli_web_app/server,api.py,,
superpilot/app/cli_web_app/server,schema.py,only_objective_or_name_role_goals,"AgentInfo, AgentConfiguration, InteractRequestBody, InteractResponseBody"
superpilot/app/cli_web_app/server/services,,,
superpilot/app/cli_web_app/server/services,users.py,"__init__, get_user_id",UserService
superpilot/app/cli_web_app/server/services,__init__.py,,
superpilot/app/cli_web_app/client,,,
superpilot/app/cli_web_app/client,client.py,run,
superpilot/app/cli_web_app/client,__init__.py,,
superpilot/app/client_lib,,,
superpilot/app/client_lib,logging.py,get_client_logger,
superpilot/app/client_lib,shared_click_commands.py,"make_settings, status",
superpilot/app/client_lib,__init__.py,,
superpilot/app/client_lib,utils.py,"handle_exceptions, coroutine, wrapper",
superpilot/app/client_lib,settings.py,make_user_configuration,
superpilot/app/cli_app,,,
superpilot/app/cli_app,__init__.py,,
superpilot/app/cli_app,cli.py,superpilot,
superpilot/app/cli_app,main.py,"parse_pilot_name_and_goals, parse_pilot_plan, parse_next_ability, parse_ability_result",
superpilot/framework,,,
superpilot/framework,__init__.py,,
superpilot/framework/tools,,,
superpilot/framework/tools,__init__.py,,
superpilot/framework/tools,prompt_writer.py,"__init__, gen_instruction_style, gen_chatbot_style, gen_query_style, gen, __init__, gen, __init__, gen, __init__, gen","GPTPromptGenerator, WikiHowTemplate, EnronTemplate, BEAGECTemplate"
superpilot/framework/tools/latex,,,
superpilot/framework/tools/latex,__init__.py,latex_to_text,
superpilot/framework/tools/latex/pylatexenc,,,
superpilot/framework/tools/latex/pylatexenc,_util_support.py,"pylatexenc_deprecated_ver, pylatexenc_deprecated_2, pylatexenc_deprecated_3, __init__, _ensure_instance, __getitem__, __setitem__, __delitem__, __iter__, __len__, copy, clear",LazyDict
superpilot/framework/tools/latex/pylatexenc,version.py,,
superpilot/framework/tools/latex/pylatexenc,__init__.py,,
superpilot/framework/tools/latex/pylatexenc,_util.py,"__init__, pos_to_lineno_colno, __init__, __enter__, __exit__, find_all_new_lines","LineNumbersCalculator, PushPropOverride"
superpilot/framework/tools/latex/pylatexenc/latexnodes,,,
superpilot/framework/tools/latex/pylatexenc/latexnodes,_parsedargs.py,"_argspec_from_arguments_spec_list, __init__, __repr__, to_json_object, __eq__, __init__, argspec, legacy_nodeoptarg_nodeargs, accept_node_visitor, __eq__, to_json_object, __repr__, _argspec_char_for_arg","LatexArgumentSpec, ParsedArguments"
superpilot/framework/tools/latex/pylatexenc/latexnodes,_callablespecbase.py,get_node_parser,CallableSpecBase
superpilot/framework/tools/latex/pylatexenc/latexnodes,_exctypes.py,"format_pos, __init__, __str__, set_pos_or_add_open_context_from_node, __init__, format_open_blocks, format_pos, format_full_traceback, to_display_string, __init__, __init__, __init__","LatexWalkerError, LatexWalkerLocatedError, LatexWalkerParseError, LatexWalkerLocatedErrorFormatter, LatexWalkerTokenParseError, LatexWalkerNodesParseError, LatexWalkerEndOfStream"
superpilot/framework/tools/latex/pylatexenc/latexnodes,_token.py,"__init__, len, __unicode__, __repr__, __str__, __eq__, __ne__",LatexToken
superpilot/framework/tools/latex/pylatexenc/latexnodes,_parsedargsinfo.py,"__init__, was_provided, get_content_nodelist, get_content_as_chars, __repr__, __eq__, __init__, get_argument_info, get_all_arguments_info","SingleParsedArgumentInfo, ParsedArgumentsInfo"
superpilot/framework/tools/latex/pylatexenc/latexnodes,_latexcontextdbbase.py,"get_macro_spec, get_environment_spec, get_specials_spec, test_for_specials",LatexContextDbBase
superpilot/framework/tools/latex/pylatexenc/latexnodes,_parsingstatedelta.py,"get_updated_parsing_state_from_delta, __init__, __repr__, get_updated_parsing_state, __init__, get_updated_parsing_state, __init__, get_updated_parsing_state, __init__, get_updated_parsing_state, __init__, __init__","ParsingStateDelta, ParsingStateDeltaReplaceParsingState, ParsingStateDeltaChained, ParsingStateDeltaWalkerEvent, ParsingStateDeltaEnterMathMode, ParsingStateDeltaLeaveMathMode"
superpilot/framework/tools/latex/pylatexenc/latexnodes,__init__.py,,
superpilot/framework/tools/latex/pylatexenc/latexnodes,_nodescollector.py,"__init__, get_final_nodelist, get_parser_parsing_state_delta, pos_start, pos_end, stop_token_condition_met, stop_token_condition_met_token, stop_nodelist_condition_met, stop_condition_stop_data, reached_end_of_stream, is_finalized, finalize, push_pending_chars, flush_pending_chars, push_to_nodelist, update_state_from_parsing_state_delta, _check_nodelist_stop_condition, _check_token_stop_condition, process_tokens, process_one_token, make_child_parsing_state, parse_comment_node, parse_latex_group, parse_macro, parse_environment, parse_specials, parse_invocable_token_type, parse_math, __init__","LatexNodesCollector, ReachedEndOfStream, ReachedStoppingCondition"
superpilot/framework/tools/latex/pylatexenc/latexnodes,_tokenreaderbase.py,"__init__, make_token, move_to_token, move_past_token, peek_token, peek_token_or_none, next_token, cur_pos, peek_space_chars, skip_space_chars, peek_chars, next_chars, move_to_pos_chars, __init__, peek_token, next_token, _find_tok_idx, move_to_token, move_past_token, cur_pos, final_pos","LatexTokenReaderBase, LatexTokenListTokenReader"
superpilot/framework/tools/latex/pylatexenc/latexnodes,_parsingstate.py,"_safe_eq, __init__, set_fields, _finalize_state_latex_group_delimiters_info, _finalize_state_latex_math_delim_info, _finalize_state_inmathmode_info, finalize_state, sub_context, get_fields, __repr__, to_json_object",ParsingState
superpilot/framework/tools/latex/pylatexenc/latexnodes,_tokenreader.py,"__init__, move_to_token, move_past_token, peek_chars, next_chars, cur_pos, move_to_pos_chars, _advance_to_pos, skip_space_chars, peek_space_chars, peek_token, impl_peek_token, impl_peek_space_chars, impl_char_token, impl_maybe_read_math_mode_delimiter, impl_read_macro, parse_latex_environment_name, impl_read_environment, impl_read_comment",LatexTokenReader
superpilot/framework/tools/latex/pylatexenc/latexnodes,nodes.py,"_display_abbrev_str, _display_str_delimiters, _get_content_as_chars, _update_posposend_from_nodelist, __init__, nodeType, isNodeType, len, latex_verbatim, __eq__, __ne__, __unicode__, __str__, __repr__, display_str, accept_node_visitor, to_json_object_with_latexwalker, format_pos, __init__, nodeType, display_str, accept_node_visitor, __init__, nodeType, display_str, accept_node_visitor, __init__, nodeType, display_str, accept_node_visitor, __init__, nodeType, display_str, accept_node_visitor, nodeoptarg, nodeargs, __init__, envname, nodeType, display_str, accept_node_visitor, __init__, nodeType, display_str, accept_node_visitor, __init__, nodeType, display_str, accept_node_visitor, __init__, len, __iter__, __getitem__, __len__, latex_verbatim, display_str, accept_node_visitor, filter, split_at_node, split_at_chars, get_content_as_chars, __eq__, to_json_object, __repr__, visit, visit_chars_node, visit_group_node, visit_comment_node, visit_macro_node, visit_environment_node, visit_specials_node, visit_math_node, visit_node_list, visit_parsed_arguments, visit_unknown_node, start, filter_full_predicate_fn, get_split_match_start_end, get_next_split, chars_to_node, flush_nodes","LatexNode, LatexCharsNode, LatexGroupNode, LatexCommentNode, LatexMacroNode, LatexEnvironmentNode, LatexSpecialsNode, LatexMathNode, LatexNodeList, LatexNodesVisitor"
superpilot/framework/tools/latex/pylatexenc/latexnodes,_walkerbase.py,"enter_math_mode, leave_math_mode, parsing_state_event_handler, parse_content, make_node, make_nodelist, make_nodes_collector, make_latex_group_parser, make_latex_math_parser, check_tolerant_parsing_ignore_error, format_node_pos","LatexWalkerParsingStateEventHandler, LatexWalkerBase"
superpilot/framework/tools/latex/pylatexenc/latexnodes/parsers,,,
superpilot/framework/tools/latex/pylatexenc/latexnodes/parsers,_base.py,"__init__, parse, contents_can_be_empty, __repr__",LatexParserBase
superpilot/framework/tools/latex/pylatexenc/latexnodes/parsers,_math.py,"is_opening_delimiter, get_acceptable_open_delimiter_list, initialize, stop_token_condition, get_matching_delimiter, make_group_node_and_parsing_state_delta, __init__","LatexMathParserInfo, LatexMathParser"
superpilot/framework/tools/latex/pylatexenc/latexnodes/parsers,__init__.py,,
superpilot/framework/tools/latex/pylatexenc/latexnodes/parsers,_generalnodes.py,"__init__, make_nodes_collector, parse, __init__, _stop_nodelist_condition, contents_can_be_empty","LatexGeneralNodesParser, LatexSingleNodeParser"
superpilot/framework/tools/latex/pylatexenc/latexnodes/parsers,_expression.py,"__init__, __init__, contents_can_be_empty, parse, _parse_single_token, _check_if_requires_args","_TryAgainWithSkippedCommentOrWhitespaceNodes, LatexExpressionParser"
superpilot/framework/tools/latex/pylatexenc/latexnodes/parsers,_optionals.py,"__init__, __init__, contents_can_be_empty, get_following_arg_parser, parse, _return_none","LatexOptionalSquareBracketsParser, LatexOptionalCharsMarkerParser"
superpilot/framework/tools/latex/pylatexenc/latexnodes/parsers,_stdarg.py,"get_standard_argument_parser, __init__, get_arg_parser_instance, parse, __init__, __init__, __init__, stop_token_condition, handle_stop_condition_token, parse, _parse_one_commasep_arg, __init__, contents_can_be_empty, get_macro_arg_parser, parse, initialize, make_child_parsing_state, stop_token_condition, initialize, make_child_parsing_state, make_content_parser","LatexStandardArgumentParser, LatexCharsGroupParser, LatexCharsCommaSeparatedListParser, _CommaSepContentCustomParser, LatexTackOnInformationFieldMacrosParser, CharsContentsParserInfo, CommaSepParserInfo"
superpilot/framework/tools/latex/pylatexenc/latexnodes/parsers,_delimited.py,"__init__, get_group_parsing_state, get_acceptable_open_delimiter_list, parse_initial, is_opening_delimiter, check_opening_delimiter, __init__, initialize, stop_token_condition, handle_stop_condition_token, make_child_parsing_state, get_matching_delimiter, get_parsed_delimiters, make_content_parser, get_open_context_description, make_group_node_and_parsing_state_delta, __init__, contents_can_be_empty, parse, get_group_parsing_state, get_acceptable_open_delimiter_list, is_opening_delimiter, stop_token_condition, get_matching_delimiter, __init__","LatexDelimitedExpressionParserOpeningDelimiterNotFound, LatexDelimitedExpressionParserInfo, LatexDelimitedExpressionParser, LatexDelimitedGroupParserInfo, LatexDelimitedGroupParser"
superpilot/framework/tools/latex/pylatexenc/latexnodes/parsers,_verbatim.py,"__init__, new_char_check_stop_condition, error_end_of_stream, finalize_verbatim_string, parse, read_verbatim_content, __init__, new_char_check_stop_condition, parse, __init__, new_char_check_stop_condition, finalize_verbatim_string, parse, __init__","LatexVerbatimBaseParser, LatexDelimitedVerbatimParser, LatexVerbatimEnvironmentContentsParser, VerbatimInfo"
superpilot/framework/tools/latex/pylatexenc/latex2text,,,
superpilot/framework/tools/latex/pylatexenc/latex2text,_inputlatexfile.py,read_latex_file,
superpilot/framework/tools/latex/pylatexenc/latex2text,__init__.py,"EnvDef, MacroDef, fmt_equation_environment, fmt_input_macro, placeholder_node_formatter, _do_fmt_placeholder_node, fmt_placeholder_node, fmt_matrix_environment_node, _fmt_math_style_char, fmt_math_text_style, get_default_latex_context_db, _parse_strict_latex_spaces_dict, latex2text, latexnodes2text, __init__, __init__, __init__, __init__, set_tex_input_directory, read_input_file, _input_node_simplify_repl, latex_to_text, nodelist_to_text, node_to_text, chars_node_to_text, comment_node_to_text, group_node_to_text, macro_node_to_text, environment_node_to_text, specials_node_to_text, math_node_to_text, do_fill_text, apply_simplify_repl, _fmt_indented_block, _is_bare_macro_node, _groupnodecontents_to_text, node_arg_to_text, apply_text_replacements, __init__, __init__, add_content, new_column, new_row, get_macro_str_repl, get_specials_str_repl, fill_chunk","MacroTextSpec, EnvironmentTextSpec, SpecialsTextSpec, LatexNodes2Text, _PushEquationContext, StateType"
superpilot/framework/tools/latex/pylatexenc/latex2text,_defaultspecs.py,"_format_uebung, _format_maketitle, _latex_today, _mathxx_formatter, _greekletters, make_accented_char, unicode, formatter, getaccented",
superpilot/framework/tools/latex/pylatexenc/latex2text,__main__.py,"main, run_main, __init__, __contains__",ListWithHiddenItems
superpilot/framework/tools/latex/pylatexenc/latexwalker,,,
superpilot/framework/tools/latex/pylatexenc/latexwalker,_get_defaultspecs.py,get_default_latex_context_db,
superpilot/framework/tools/latex/pylatexenc/latexwalker,__init__.py,,
superpilot/framework/tools/latex/pylatexenc/latexwalker,_defaultspecs.py,,
superpilot/framework/tools/latex/pylatexenc/latexwalker,_legacy_py1x.py,"MacrosDef, get_token, get_latex_expression, get_latex_maybe_optional_arg, get_latex_braced_group, get_latex_environment, get_latex_nodes",
superpilot/framework/tools/latex/pylatexenc/latexwalker,_walker.py,"_legacy_pyltxenc1_LatexWalker_init_from_macro_dict, _pyltxenc2_LatexWalker_get_token, _pyltxenc2_LatexWalker_get_latex_nodes, _pyltxenc2_LatexWalker_get_latex_expression, _pyltxenc2_LatexWalker_get_latex_braced_group, _pyltxenc2_LatexWalker_get_latex_environment, _pyltxenc2_LatexWalker_get_latex_maybe_optional_arg, __init__, make_parsing_state, parse_flags, _report_ignore_parse_error, check_tolerant_parsing_ignore_error, new_parsing_open_context, make_token_reader, parse_content, make_nodes_collector, make_node, make_nodelist, format_pos, pos_to_lineno_colno, __repr__, stop_token_condition, stop_nodelist_condition, handle_stop_condition_token, __init__, __enter__, __exit__, perform_recovery_nodes_and_parsing_state_delta","LatexWalker, _ParsingContext"
superpilot/framework/tools/latex/pylatexenc/latexwalker,__main__.py,"main, run_main",
superpilot/framework/tools/latex/pylatexenc/latexwalker,_helpers.py,"nodelist_to_latex, put_in_braces, disp_node, make_json_encoder, add_args, add_args, __init__, default",LatexNodesJSONEncoder
superpilot/framework/tools/latex/pylatexenc/macrospec,,,
superpilot/framework/tools/latex/pylatexenc/macrospec,_environmentbodyparser.py,"parse_initial, initialize, get_open_context_description, stop_token_condition, make_group_node_and_parsing_state_delta, __init__, get_contents_parsing_state_delta, get_child_parsing_state_delta","LatexEnvironmentBodyContentsParserInfo, LatexEnvironmentBodyContentsParser"
superpilot/framework/tools/latex/pylatexenc/macrospec,_spechelpers.py,"std_macro, std_environment, std_specials",
superpilot/framework/tools/latex/pylatexenc/macrospec,__init__.py,,
superpilot/framework/tools/latex/pylatexenc/macrospec,_specclasses.py,"_legacy_pyltxenc2_CallableSpec_init_from_args_parser, _legacy_pyltxenc2_CallableSpec_parse_args, __init__, get_node_parser, args_parser, finalize_node, make_arguments_parsing_state_delta, make_body_parsing_state_delta, make_after_parsing_state_delta, needs_arguments, make_body_parser, __repr__, __init__, __init__, __init__, _make_after_parsing_state_delta, _make_body_parsing_state_delta, _init_with_legacy_wrapper","_NotSpecified, CallableSpec, MacroSpec, EnvironmentSpec, SpecialsSpec"
